customer_id,tag,start_date,end_date
1086,omega,2024-01-13,2024-03-18
1086,omega,2024-02-11,2024-04-08
1087,beta,2024-09-12,2024-12-05
1088,omega,2024-02-29,2024-06-20
1088,beta,2024-08-20,2024-11-22
1089,omega,2024-06-15,2024-09-27
1089,delta,2024-01-09,2024-04-27
1090,alpha,2024-07-14,2024-10-25
1090,alpha,2024-07-21,2024-09-28
1090,sigma,2024-07-08,2024-08-28
1091,gamma,2024-05-22,2024-07-18
1091,delta,2024-04-21,2024-07-29
1092,delta,2024-06-14,2024-08-04
1093,beta,2024-09-11,2024-12-22
1093,gamma,2024-09-02,2024-12-05
1094,sigma,2024-01-27,2024-04-21
1095,omega,2024-10-20,2025-01-12
1095,alpha,2024-03-19,2024-07-13
1095,alpha,2024-07-09,2024-09-08
1095,gamma,2024-05-21,2024-08-06
1096,gamma,2024-02-15,2024-05-12
1096,gamma,2024-08-23,2024-12-10
1097,omega,2024-02-14,2024-04-30
1097,beta,2024-02-07,2024-03-23
1098,delta,2024-08-01,2024-10-09
1098,delta,2024-08-07,2024-09-17
1098,sigma,2024-07-11,2024-11-04
1099,delta,2024-09-26,2024-12-22
1100,beta,2024-07-03,2024-09-08
1100,omega,2024-01-18,2024-05-14
1100,omega,2024-07-14,2024-09-30
1101,sigma,2024-01-12,2024-04-16
1102,delta,2024-06-17,2024-08-31
1102,delta,2024-10-13,2025-01-07
1102,gamma,2024-08-08,2024-09-17
1103,alpha,2024-05-26,2024-09-01
1103,alpha,2024-06-26,2024-10-12
1103,gamma,2024-06-15,2024-10-06
1104,alpha,2024-08-05,2024-09-23
1104,beta,2024-07-24,2024-09-03
1105,omega,2024-03-26,2024-05-27
1105,delta,2024-03-13,2024-05-18
1106,sigma,2024-03-24,2024-06-15
1106,beta,2024-05-14,2024-08-31
1107,delta,2024-04-07,2024-07-17
1107,alpha,2024-05-25,2024-09-01
1108,alpha,2024-09-01,2024-12-05
1108,alpha,2024-09-01,2024-10-22
1108,delta,2024-08-04,2024-09-16
1109,sigma,2024-03-02,2024-06-18
1110,delta,2024-08-17,2024-11-14
1110,omega,2024-02-25,2024-04-18
1110,omega,2024-03-18,2024-07-13
1111,gamma,2024-10-02,2025-01-23
1111,alpha,2024-08-03,2024-10-15
1111,sigma,2024-02-09,2024-05-23
1112,gamma,2024-10-25,2025-01-29
1113,beta,2024-09-20,2024-12-24
1114,alpha,2024-09-05,2024-11-25
1114,beta,2024-08-31,2024-11-07
1115,gamma,2024-03-25,2024-05-20
1116,beta,2024-03-21,2024-07-03
1117,alpha,2024-10-19,2024-12-28
1118,gamma,2024-04-04,2024-06-16
1119,beta,2024-06-22,2024-10-12
1119,omega,2024-01-21,2024-05-13
1120,gamma,2024-09-01,2024-12-14
1121,omega,2024-03-10,2024-05-20
1121,gamma,2024-05-17,2024-08-03
1122,omega,2024-05-12,2024-07-01
1122,alpha,2024-10-17,2024-12-30
1123,beta,2024-07-10,2024-09-07
1123,alpha,2024-01-04,2024-03-01
1124,sigma,2024-06-17,2024-09-23
1125,delta,2024-01-03,2024-03-19
1126,omega,2024-01-15,2024-04-15
1127,omega,2024-03-20,2024-05-05
1128,delta,2024-10-23,2024-12-15
1128,alpha,2024-08-19,2024-10-02
1129,delta,2024-10-01,2025-01-12
1130,gamma,2024-07-28,2024-09-23
1131,alpha,2024-01-10,2024-04-27
1131,alpha,2024-05-14,2024-06-25
1131,gamma,2024-02-13,2024-06-01
1132,delta,2024-05-27,2024-08-18
1132,sigma,2024-04-29,2024-08-14
1132,alpha,2024-05-20,2024-08-29
1133,alpha,2024-08-23,2024-11-03
1134,omega,2024-03-19,2024-06-08
1134,omega,2024-06-17,2024-09-16
1135,gamma,2024-04-26,2024-08-04
1135,beta,2024-01-13,2024-03-06
1136,sigma,2024-02-19,2024-05-12
1136,delta,2024-01-16,2024-02-26
1137,gamma,2024-02-04,2024-04-06
1137,sigma,2024-08-17,2024-11-25
1138,beta,2024-08-07,2024-10-21
1139,delta,2024-05-09,2024-08-23
1139,delta,2024-06-25,2024-08-14
1140,omega,2024-08-11,2024-10-14
1141,beta,2024-02-11,2024-04-24
1142,delta,2024-03-02,2024-05-12
1142,delta,2024-03-15,2024-06-20
1142,sigma,2024-06-14,2024-08-20
1142,sigma,2024-07-01,2024-10-22
1142,alpha,2024-01-22,2024-04-13
1143,alpha,2024-05-16,2024-08-27
1143,alpha,2024-10-03,2025-01-26
1144,alpha,2024-03-09,2024-04-25
1144,alpha,2024-09-17,2024-11-04
1145,beta,2024-03-23,2024-06-09
1146,sigma,2024-07-09,2024-09-17
1146,beta,2024-01-10,2024-04-25
1147,delta,2024-05-28,2024-08-04
1147,delta,2024-09-22,2024-11-10
1147,omega,2024-05-30,2024-08-27
1148,beta,2024-07-11,2024-11-06
1149,beta,2024-04-18,2024-06-22
1149,alpha,2024-08-07,2024-09-29
1150,alpha,2024-02-21,2024-06-02
1150,beta,2024-04-14,2024-06-26
1151,gamma,2024-09-20,2024-11-16
1151,beta,2024-02-02,2024-03-17
1152,delta,2024-02-03,2024-04-06
1152,gamma,2024-03-11,2024-05-11
1153,omega,2024-08-06,2024-10-16
1154,alpha,2024-10-16,2024-12-30
1155,alpha,2024-07-25,2024-10-18
1155,beta,2024-09-02,2024-11-16
1156,alpha,2024-07-22,2024-09-13
1156,omega,2024-09-27,2024-12-26
1157,delta,2024-01-06,2024-04-11
1157,delta,2024-04-28,2024-07-07
1157,alpha,2024-07-25,2024-10-01
1157,gamma,2024-10-15,2025-01-29
1158,gamma,2024-04-18,2024-08-11
1158,gamma,2024-05-28,2024-08-26
1159,delta,2024-03-16,2024-07-11
1159,delta,2024-07-04,2024-08-18
1159,alpha,2024-10-16,2025-01-19
1160,omega,2024-01-10,2024-04-28
1160,omega,2024-03-27,2024-05-28
1160,gamma,2024-01-30,2024-05-26
1161,delta,2024-04-14,2024-06-13
1162,omega,2024-07-25,2024-10-17
1162,omega,2024-08-29,2024-12-14
1163,alpha,2024-05-21,2024-08-31
1163,omega,2024-02-20,2024-06-17
1164,sigma,2024-09-23,2024-11-17
1165,delta,2024-09-02,2024-10-19
1165,beta,2024-07-29,2024-10-24
1166,omega,2024-05-11,2024-07-26
1166,gamma,2024-07-16,2024-10-10
1167,alpha,2024-09-17,2024-11-25
1167,delta,2024-03-09,2024-05-18
1168,delta,2024-06-10,2024-09-10
1169,sigma,2024-08-10,2024-09-21
1169,beta,2024-03-30,2024-05-14
1170,delta,2024-04-20,2024-06-30
1170,omega,2024-06-25,2024-10-07
1171,beta,2024-09-23,2024-11-07
1172,sigma,2024-09-09,2024-11-25
1173,alpha,2024-07-21,2024-10-07
1173,sigma,2024-06-06,2024-08-05
1174,sigma,2024-10-01,2025-01-07
1175,omega,2024-01-30,2024-04-17
1176,sigma,2024-09-09,2025-01-05
1176,sigma,2024-10-17,2024-12-23
1177,gamma,2024-04-05,2024-06-21
1177,alpha,2024-10-14,2024-12-18
1178,alpha,2024-05-29,2024-08-29
1179,delta,2024-05-16,2024-07-01
1180,sigma,2024-08-30,2024-12-11
1180,gamma,2024-03-29,2024-06-25
1181,beta,2024-04-15,2024-06-20
1182,sigma,2024-03-21,2024-07-04
1182,delta,2024-01-31,2024-04-13
1182,delta,2024-07-10,2024-10-12
1182,omega,2024-01-17,2024-05-13
1183,delta,2024-05-24,2024-08-21
1183,delta,2024-06-04,2024-07-21
1184,alpha,2024-01-16,2024-03-07
1185,omega,2024-06-13,2024-09-25
1185,beta,2024-09-16,2024-12-28
1186,beta,2024-04-12,2024-08-01
1187,omega,2024-04-08,2024-07-03
1187,alpha,2024-04-26,2024-06-30
1188,gamma,2024-02-18,2024-04-11
1189,alpha,2024-09-29,2024-11-17
1189,gamma,2024-03-23,2024-06-28
1190,gamma,2024-03-06,2024-05-06
1190,gamma,2024-04-04,2024-06-05
1191,sigma,2024-04-29,2024-08-18
1191,sigma,2024-10-21,2024-12-17
1192,omega,2024-09-10,2024-12-31
1192,beta,2024-01-10,2024-04-20
1193,beta,2024-09-19,2025-01-09
1193,gamma,2024-09-24,2024-11-05
1194,omega,2024-10-11,2024-12-29
1194,delta,2024-09-07,2024-12-23
1195,beta,2024-04-22,2024-08-04
1196,gamma,2024-02-03,2024-04-21
1196,omega,2024-05-31,2024-07-12
1197,delta,2024-02-01,2024-04-19
1197,beta,2024-08-31,2024-10-23
1197,sigma,2024-01-28,2024-03-21
1198,sigma,2024-02-01,2024-03-20
1198,beta,2024-04-04,2024-05-30
1199,alpha,2024-04-25,2024-08-09
1199,gamma,2024-06-17,2024-10-13
1200,sigma,2024-04-11,2024-06-02
1200,gamma,2024-09-27,2024-11-20
1200,gamma,2024-10-18,2025-02-09
1201,alpha,2024-10-11,2025-01-11
1201,sigma,2024-07-03,2024-09-30
1202,sigma,2024-03-18,2024-05-18
1202,delta,2024-02-05,2024-05-01
1202,delta,2024-05-22,2024-08-23
1203,delta,2024-06-19,2024-09-21
1204,delta,2024-03-11,2024-05-25
1204,omega,2024-04-22,2024-07-15
1205,delta,2024-07-02,2024-08-25
1205,gamma,2024-06-20,2024-08-08
1205,gamma,2024-07-27,2024-09-24
1206,delta,2024-04-17,2024-07-04
1207,omega,2024-01-12,2024-02-21
1207,sigma,2024-07-26,2024-09-08
1208,delta,2024-01-09,2024-04-02
1208,omega,2024-04-21,2024-07-24
1208,gamma,2024-02-06,2024-05-05
1209,beta,2024-01-06,2024-02-18
1210,sigma,2024-02-27,2024-06-16
1210,sigma,2024-06-22,2024-09-08
1211,delta,2024-01-14,2024-03-28
1211,delta,2024-02-21,2024-04-28
1212,delta,2024-05-21,2024-08-31
1212,alpha,2024-03-31,2024-06-18
1212,alpha,2024-05-31,2024-08-07
1213,delta,2024-01-30,2024-03-24
1213,beta,2024-01-16,2024-05-07
1213,gamma,2024-06-10,2024-08-01
1213,gamma,2024-10-09,2024-12-14
1214,delta,2024-07-08,2024-09-17
1214,delta,2024-08-04,2024-10-21
1214,omega,2024-03-27,2024-06-14
1215,sigma,2024-05-17,2024-07-27
1215,beta,2024-01-16,2024-03-13
1216,delta,2024-10-20,2025-01-12
1217,omega,2024-03-14,2024-05-28
1217,sigma,2024-04-23,2024-07-28
1218,delta,2024-02-19,2024-04-08
1218,delta,2024-10-11,2024-12-16
1219,omega,2024-10-08,2025-01-06
1220,delta,2024-08-06,2024-09-15
1220,beta,2024-01-14,2024-04-21
1220,beta,2024-06-26,2024-08-07
1221,sigma,2024-03-24,2024-05-23
1221,gamma,2024-06-20,2024-08-23
1221,gamma,2024-10-07,2024-11-24
1222,gamma,2024-05-31,2024-08-04
1223,beta,2024-06-11,2024-09-29
1223,beta,2024-10-26,2024-12-26
1223,alpha,2024-03-27,2024-05-20
1223,sigma,2024-05-11,2024-08-14
1224,omega,2024-06-10,2024-10-02
1225,omega,2024-10-19,2025-02-03
1226,alpha,2024-09-30,2024-12-31
1227,alpha,2024-01-11,2024-03-24
1228,gamma,2024-01-25,2024-04-29
1228,gamma,2024-04-25,2024-08-19
1228,delta,2024-07-29,2024-10-25
1229,beta,2024-02-19,2024-05-16
1230,gamma,2024-07-19,2024-10-31
1230,beta,2024-05-06,2024-06-20
1230,beta,2024-06-23,2024-10-06
1230,sigma,2024-10-05,2024-12-26
1231,delta,2024-05-22,2024-08-03
1231,delta,2024-10-24,2025-01-19
1232,gamma,2024-01-23,2024-05-03
1233,beta,2024-06-24,2024-10-05
1233,beta,2024-10-15,2024-12-23
1234,gamma,2024-07-13,2024-10-04
1234,delta,2024-01-11,2024-02-21
1235,sigma,2024-08-03,2024-09-15
1236,delta,2024-03-10,2024-05-11
1236,beta,2024-06-20,2024-09-15
1236,beta,2024-09-11,2024-12-11
1237,sigma,2024-04-09,2024-07-18
1238,beta,2024-03-30,2024-07-18
1238,beta,2024-06-13,2024-08-13
1238,alpha,2024-02-27,2024-05-06
1238,omega,2024-04-15,2024-06-19
1238,omega,2024-06-15,2024-10-03
1239,gamma,2024-05-24,2024-09-19
1239,omega,2024-06-24,2024-10-04
2000,alpha,2024-02-01,2024-05-31
2000,beta,2024-03-01,2024-03-31
2001,alpha,2024-02-01,2024-05-31
2001,gamma,2024-04-01,2024-05-31
2002,alpha,2024-02-01,2024-05-31
2002,delta,2024-03-01,2024-04-30
2003,alpha,2024-02-01,2024-05-31
2003,delta,2024-05-01,2024-05-31
2004,sigma,2024-02-01,2024-05-31
2004,alpha,2024-04-01,2024-05-31
2005,sigma,2024-02-01,2024-05-31
2005,alpha,2024-03-01,2024-04-30
2006,alpha,2024-02-01,2024-05-31
2006,sigma,2024-02-01,2024-03-31
2007,alpha,2024-02-01,2024-05-31
2007,beta,2024-03-01,2024-05-31
2008,alpha,2024-02-01,2024-05-31
2008,beta,2024-02-01,2024-04-30
2009,alpha,2024-02-01,2024-05-31
2009,delta,2024-02-01,2024-05-31
