customer_id,reliability_score,potential_value,account_status,signup_date
1080,454,30729,1,2024-01-17 00:00:00.000000
1081,403,125864,0,2024-02-17 00:00:00.000000
1082,338,74748,0,2024-01-26 00:00:00.000000
1083,707,159788,0,2024-01-07 00:00:00.000000
1084,335,90316,0,2024-01-08 00:00:00.000000
1085,811,90031,0,2024-04-24 00:00:00.000000
1086,770,144046,0,2024-03-06 00:00:00.000000
1087,350,113848,0,2024-03-02 00:00:00.000000
1088,424,42677,0,2024-03-26 00:00:00.000000
1089,604,90313,1,2024-02-23 00:00:00.000000
1090,743,133632,1,2024-02-29 00:00:00.000000
1091,304,107235,1,2024-04-05 00:00:00.000000
1092,649,190806,0,2024-01-16 00:00:00.000000
1093,568,37019,0,2024-01-19 00:00:00.000000
1094,419,102750,0,2024-02-27 00:00:00.000000
1095,645,110852,0,2024-03-02 00:00:00.000000
1096,426,120235,0,2024-02-27 00:00:00.000000
1097,812,150798,0,2024-04-27 00:00:00.000000
1098,787,134548,0,2024-03-01 00:00:00.000000
1099,746,36964,0,2024-04-28 00:00:00.000000
1100,375,87215,0,2024-03-26 00:00:00.000000
1101,584,29435,0,2024-04-22 00:00:00.000000
1102,393,98781,0,2024-03-16 00:00:00.000000
1103,517,186319,1,2024-04-09 00:00:00.000000
1104,588,76573,0,2024-01-23 00:00:00.000000
1105,821,118116,1,2024-02-21 00:00:00.000000
1106,522,43289,2,2024-04-05 00:00:00.000000
1107,624,36364,0,2024-01-24 00:00:00.000000
1108,635,124182,2,2024-04-01 00:00:00.000000
1109,459,169143,0,2024-02-04 00:00:00.000000
1110,679,111680,0,2024-02-20 00:00:00.000000
1111,726,123691,0,2024-02-02 00:00:00.000000
1112,467,89449,0,2024-01-29 00:00:00.000000
1113,696,58494,0,2024-04-24 00:00:00.000000
1114,334,47350,0,2024-01-08 00:00:00.000000
1115,717,77458,0,2024-03-08 00:00:00.000000
1116,800,58513,0,2024-01-29 00:00:00.000000
1117,675,125891,0,2024-02-05 00:00:00.000000
1118,693,58756,1,2024-03-04 00:00:00.000000
1119,398,105999,0,2024-04-22 00:00:00.000000
1120,395,158429,0,2024-01-12 00:00:00.000000
1121,668,171222,1,2024-03-29 00:00:00.000000
1122,572,130448,0,2024-04-21 00:00:00.000000
1123,641,139180,1,2024-02-18 00:00:00.000000
1124,695,175538,0,2024-03-11 00:00:00.000000
1125,683,183379,0,2024-04-20 00:00:00.000000
1126,443,106900,0,2024-01-12 00:00:00.000000
1127,324,162202,0,2024-02-22 00:00:00.000000
1128,450,47192,0,2024-02-22 00:00:00.000000
1129,341,41689,0,2024-04-04 00:00:00.000000
1130,432,174786,1,2024-04-16 00:00:00.000000
1131,308,174697,1,2024-01-17 00:00:00.000000
1132,552,195333,0,2024-01-13 00:00:00.000000
1133,467,59081,0,2024-01-27 00:00:00.000000
1134,493,108092,0,2024-03-23 00:00:00.000000
1135,795,193420,0,2024-04-25 00:00:00.000000
1136,810,191334,2,2024-01-04 00:00:00.000000
1137,369,39870,0,2024-04-17 00:00:00.000000
1138,481,46790,0,2024-03-30 00:00:00.000000
1139,830,35485,0,2024-01-13 00:00:00.000000
1140,519,23709,0,2024-04-01 00:00:00.000000
1141,755,164188,1,2024-02-08 00:00:00.000000
1142,300,59298,0,2024-03-02 00:00:00.000000
1143,804,48016,0,2024-02-02 00:00:00.000000
1144,416,134821,1,2024-02-14 00:00:00.000000
1145,472,54620,0,2024-03-20 00:00:00.000000
1146,512,41732,0,2024-01-19 00:00:00.000000
1147,831,134065,0,2024-02-18 00:00:00.000000
1148,825,72638,2,2024-02-23 00:00:00.000000
1149,558,170159,1,2024-03-15 00:00:00.000000
2000,500,120000,0,2024-02-01 00:00:00.000000
2001,520,125000,0,2024-02-02 00:00:00.000000
2002,540,130000,0,2024-02-03 00:00:00.000000
2003,560,135000,0,2024-02-04 00:00:00.000000
2004,580,140000,0,2024-02-05 00:00:00.000000
2005,600,145000,0,2024-02-06 00:00:00.000000
1000,402,166867,2,2024-04-16 00:00:00.000001
1001,371,130268,0,2024-03-23 00:00:00.000001
1002,514,188266,0,2024-04-26 00:00:00.000001
1003,399,36023,0,2024-02-22 00:00:00.000001
1004,643,84925,0,2024-03-04 00:00:00.000001
1005,576,105305,0,2024-04-17 00:00:00.000001
1006,774,176730,0,2024-04-01 00:00:00.000001
1007,489,149981,1,2024-02-20 00:00:00.000001
1008,543,51551,0,2024-04-10 00:00:00.000001
1009,320,107313,2,2024-02-29 00:00:00.000001
1010,313,194073,0,2024-02-22 00:00:00.000001
1011,639,140174,0,2024-02-13 00:00:00.000001
2000,500,120000,0,2024-02-01 00:00:00.000001
2001,520,125000,0,2024-02-02 00:00:00.000001
2002,540,130000,0,2024-02-03 00:00:00.000001
2003,560,135000,0,2024-02-04 00:00:00.000001
