shipment_id,route_id,ship_ts_utc,service_start_local,service_end_local,tz_offset_minutes
25,R001,2026-03-09T01:24:00+00:00,2026-03-09T23:46:00,2026-03-10T03:01:00,540
26,R001,2026-03-08T22:34:00+00:00,2026-03-10T05:10:00,2026-03-10T07:59:00,540
27,R001,2026-03-09T23:38:00Z,2026-03-10T11:20:00,2026-03-10T14:18:00,540
28,R001,2026-03-08T23:58:00+00:00,2026-03-10T05:03:00,2026-03-10T08:17:00,540
29,R001,2026-03-10T00:48:00Z,2026-03-10T05:07:00,2026-03-10T07:55:00,540
30,R001,2026-03-11T00:01:00+00:00,2026-03-10T11:18:00,2026-03-10T14:17:00,540
31,R001,2026-03-10T08:52:00+00:00,2026-03-10T20:13:00,2026-03-11T00:14:00,540
32,R001,2026-03-11T00:08:00+00:00,2026-03-10T20:43:00,2026-03-11T00:18:00,540
33,R001,2026-03-09T00:07:00Z,2026-03-10T00:00:00,2026-03-10T03:07:00,540
34,R001,2026-03-10T11:50:00Z,2026-03-10T20:36:00,2026-03-11T00:16:00,540
35,R001,2026-03-09T15:18:00+00:00,2026-03-10T00:19:00,2026-03-10T02:57:00,540
36,R001,2026-03-09T23:49:00Z,2026-03-10T04:52:00,2026-03-10T08:05:00,540
37,R001,2026-03-10T13:28:00Z,2026-03-10T20:30:00,2026-03-11T00:09:00,540
38,R001,2026-03-10T11:48:00+00:00,2026-03-10T20:30:00,2026-03-10T23:51:00,540
39,R001,2026-03-11T00:09:00+00:00,2026-03-10T11:40:00,2026-03-10T14:14:00,540
40,R001,2026-03-10T02:31:00+00:00,2026-03-10T11:21:00,2026-03-10T14:40:00,540
41,R001,2026-03-10T22:48:00Z,2026-03-10T21:42:00,2026-03-11T01:28:00,540
42,R001,2026-03-09T14:32:00+00:00,2026-03-10T00:09:00,2026-03-10T02:41:00,540
43,R001,2026-03-10T10:27:00+00:00,2026-03-10T21:54:00,2026-03-11T01:43:00,540
44,R001,2026-03-11T01:31:00+00:00,2026-03-10T22:18:00,2026-03-11T01:27:00,540
45,R001,2026-03-09T01:31:00Z,2026-03-10T00:16:00,2026-03-10T03:15:00,540
46,R001,2026-03-10T00:00:00Z,2026-03-10T04:49:00,2026-03-10T08:13:00,540
47,R001,2026-03-09T23:56:00+00:00,2026-03-10T20:19:00,2026-03-10T23:43:00,540
48,R001,2026-03-08T22:16:00+00:00,2026-03-10T00:20:00,2026-03-10T02:48:00,540
49,R001,2026-03-10T00:14:00+00:00,2026-03-10T00:18:00,2026-03-10T03:13:00,540
50,R001,2026-03-09T23:21:00+00:00,2026-03-10T11:45:00,2026-03-10T14:38:00,540
51,R001,2026-03-10T13:35:00Z,2026-03-10T20:16:00,2026-03-11T00:06:00,540
52,R001,2026-03-10T01:04:00Z,2026-03-10T20:26:00,2026-03-11T00:00:00,540
53,R001,2026-03-10T11:17:00Z,2026-03-10T20:10:00,2026-03-10T23:39:00,540
54,R001,2026-03-09T23:59:00Z,2026-03-09T23:44:00,2026-03-10T03:05:00,540
55,R001,2026-03-09T22:55:00Z,2026-03-10T05:19:00,2026-03-10T08:05:00,540
56,R001,2026-03-09T23:57:00Z,2026-03-10T11:26:00,2026-03-10T14:50:00,540
57,R001,2026-03-10T00:07:00Z,2026-03-10T00:06:00,2026-03-10T02:45:00,540
58,R001,2026-03-09T19:54:00+00:00,2026-03-10T04:58:00,2026-03-10T07:52:00,540
59,R001,2026-03-10T11:13:00+00:00,2026-03-10T20:19:00,2026-03-11T00:00:00,540
60,R001,2026-03-09T14:32:00+00:00,2026-03-09T23:44:00,2026-03-10T03:01:00,540
61,R001,2026-03-10T21:24:00+00:00,2026-03-11T00:17:00,2026-03-11T03:15:00,540
62,R001,2026-03-10T21:41:00+00:00,2026-03-11T20:19:00,2026-03-12T00:07:00,540
63,R001,2026-03-11T21:40:00Z,2026-03-11T20:24:00,2026-03-11T23:58:00,540
64,R001,2026-03-12T00:10:00+00:00,2026-03-11T22:14:00,2026-03-12T01:34:00,540
65,R001,2026-03-10T22:17:00+00:00,2026-03-11T05:02:00,2026-03-11T07:54:00,540
66,R001,2026-03-12T00:19:00Z,2026-03-11T11:13:00,2026-03-11T14:21:00,540
67,R001,2026-03-11T00:56:00Z,2026-03-11T11:21:00,2026-03-11T14:20:00,540
68,R001,2026-03-11T21:22:00Z,2026-03-11T21:50:00,2026-03-12T01:14:00,540
69,R001,2026-03-10T16:53:00+00:00,2026-03-11T00:14:00,2026-03-11T03:12:00,540
70,R001,2026-03-10T15:00:00+00:00,2026-03-11T00:12:00,2026-03-11T03:04:00,540
71,R001,2026-03-10T21:06:00+00:00,2026-03-11T22:20:00,2026-03-12T01:46:00,540
72,R001,2026-03-11T11:03:00Z,2026-03-11T20:14:00,2026-03-11T23:51:00,540
73,R001,2026-03-10T23:00:00+00:00,2026-03-11T05:10:00,2026-03-11T08:10:00,540
74,R001,2026-03-10T00:07:00+00:00,2026-03-11T05:10:00,2026-03-11T08:11:00,540
75,R001,2026-03-10T01:35:00+00:00,2026-03-11T05:14:00,2026-03-11T08:09:00,540
76,R001,2026-03-11T00:14:00+00:00,2026-03-11T00:08:00,2026-03-11T02:41:00,540
77,R001,2026-03-10T19:40:00+00:00,2026-03-11T04:58:00,2026-03-11T07:52:00,540
78,R001,2026-03-11T00:48:00+00:00,2026-03-11T05:00:00,2026-03-11T07:55:00,540
79,R001,2026-03-11T21:25:00+00:00,2026-03-11T20:40:00,2026-03-11T23:55:00,540
80,R001,2026-03-09T23:47:00+00:00,2026-03-11T04:51:00,2026-03-11T07:40:00,540
81,R001,2026-03-11T22:15:00+00:00,2026-03-11T11:48:00,2026-03-11T14:31:00,540
82,R001,2026-03-11T01:34:00+00:00,2026-03-11T11:19:00,2026-03-11T14:39:00,540
83,R001,2026-03-10T00:03:00+00:00,2026-03-10T23:52:00,2026-03-11T03:19:00,540
84,R001,2026-03-10T22:36:00+00:00,2026-03-11T22:17:00,2026-03-12T01:33:00,540
85,R001,2026-03-12T02:17:00+00:00,2026-03-11T11:42:00,2026-03-11T14:18:00,540
86,R001,2026-03-12T00:03:00+00:00,2026-03-11T11:26:00,2026-03-11T14:37:00,540
87,R001,2026-03-11T10:51:00+00:00,2026-03-11T22:18:00,2026-03-12T01:28:00,540
88,R001,2026-03-11T01:22:00Z,2026-03-11T22:15:00,2026-03-12T01:11:00,540
89,R001,2026-03-10T14:59:00Z,2026-03-10T23:57:00,2026-03-11T03:08:00,540
90,R001,2026-03-11T00:07:00Z,2026-03-11T20:36:00,2026-03-11T23:46:00,540
91,R001,2026-03-10T18:49:00Z,2026-03-11T04:50:00,2026-03-11T08:18:00,540
92,R001,2026-03-10T21:36:00Z,2026-03-11T05:19:00,2026-03-11T07:45:00,540
93,R001,2026-03-11T00:12:00Z,2026-03-11T11:17:00,2026-03-11T14:28:00,540
94,R001,2026-03-11T11:01:00Z,2026-03-11T22:01:00,2026-03-12T01:39:00,540
95,R001,2026-03-09T21:55:00Z,2026-03-11T00:14:00,2026-03-11T02:49:00,540
96,R001,2026-03-11T00:51:00Z,2026-03-11T20:47:00,2026-03-11T23:48:00,540
97,R001,2026-03-10T21:12:00+00:00,2026-03-11T22:05:00,2026-03-12T01:37:00,540
98,R001,2026-03-11T00:47:00Z,2026-03-11T11:26:00,2026-03-11T14:10:00,540
99,R001,2026-03-11T10:29:00Z,2026-03-11T22:04:00,2026-03-12T01:45:00,540
100,R001,2026-03-11T21:19:00Z,2026-03-11T22:08:00,2026-03-12T01:34:00,540
101,R001,2026-03-11T02:25:00Z,2026-03-11T11:15:00,2026-03-11T14:36:00,540
102,R001,2026-03-11T05:33:00Z,2026-03-11T11:43:00,2026-03-11T14:18:00,540
103,R001,2026-03-10T21:42:00Z,2026-03-11T00:15:00,2026-03-11T03:00:00,540
104,R001,2026-03-10T22:52:00+00:00,2026-03-11T05:19:00,2026-03-11T08:05:00,540
105,R001,2026-03-11T01:43:00Z,2026-03-11T11:28:00,2026-03-11T14:18:00,540
106,R001,2026-03-10T23:58:00+00:00,2026-03-11T05:04:00,2026-03-11T08:20:00,540
107,R001,2026-03-11T22:23:00Z,2026-03-11T21:54:00,2026-03-12T01:24:00,540
108,R001,2026-03-11T23:56:00Z,2026-03-11T21:51:00,2026-03-12T01:22:00,540
109,R001,2026-03-11T02:13:00Z,2026-03-11T04:43:00,2026-03-11T07:50:00,540
110,R001,2026-03-11T23:53:00+00:00,2026-03-11T20:40:00,2026-03-12T00:15:00,540
111,R001,2026-03-11T12:20:00Z,2026-03-11T22:08:00,2026-03-12T01:30:00,540
112,R001,2026-03-11T00:09:00Z,2026-03-11T20:15:00,2026-03-12T00:13:00,540
113,R001,2026-03-10T00:29:00Z,2026-03-11T04:47:00,2026-03-11T08:09:00,540
114,R001,2026-03-10T20:42:00Z,2026-03-11T05:09:00,2026-03-11T08:09:00,540
115,R001,2026-03-10T17:38:00+00:00,2026-03-10T23:57:00,2026-03-11T03:03:00,540
116,R001,2026-03-12T00:11:00+00:00,2026-03-11T22:12:00,2026-03-12T01:47:00,540
117,R001,2026-03-11T01:17:00+00:00,2026-03-10T23:55:00,2026-03-11T03:04:00,540
118,R001,2026-03-11T00:22:00Z,2026-03-11T11:38:00,2026-03-11T14:45:00,540
119,R001,2026-03-12T00:07:00Z,2026-03-11T20:38:00,2026-03-11T23:58:00,540
120,R001,2026-03-11T23:47:00Z,2026-03-11T20:46:00,2026-03-12T00:09:00,540
121,R001,2026-03-12T12:09:00+00:00,2026-03-12T20:50:00,2026-03-13T00:13:00,540
122,R001,2026-03-13T01:29:00+00:00,2026-03-12T20:13:00,2026-03-12T23:54:00,540
123,R001,2026-03-11T21:27:00+00:00,2026-03-12T04:43:00,2026-03-12T07:45:00,540
124,R001,2026-03-12T10:36:00Z,2026-03-12T20:15:00,2026-03-13T00:15:00,540
125,R001,2026-03-12T02:06:00+00:00,2026-03-12T22:19:00,2026-03-13T01:20:00,540
126,R001,2026-03-12T23:45:00+00:00,2026-03-12T22:14:00,2026-03-13T01:35:00,540
127,R001,2026-03-12T00:00:00Z,2026-03-12T20:35:00,2026-03-12T23:53:00,540
128,R001,2026-03-12T21:00:00Z,2026-03-12T22:02:00,2026-03-13T01:29:00,540
129,R001,2026-03-12T02:04:00Z,2026-03-12T04:59:00,2026-03-12T08:07:00,540
130,R001,2026-03-11T22:12:00+00:00,2026-03-12T22:15:00,2026-03-13T01:40:00,540
131,R001,2026-03-13T02:26:00Z,2026-03-12T21:47:00,2026-03-13T01:40:00,540
132,R001,2026-03-12T23:34:00+00:00,2026-03-12T21:44:00,2026-03-13T01:29:00,540
133,R001,2026-03-13T02:46:00+00:00,2026-03-12T20:19:00,2026-03-12T23:57:00,540
134,R001,2026-03-12T23:52:00+00:00,2026-03-12T11:27:00,2026-03-12T14:32:00,540
135,R001,2026-03-12T00:01:00Z,2026-03-12T11:31:00,2026-03-12T14:34:00,540
136,R001,2026-03-12T13:38:00Z,2026-03-12T20:26:00,2026-03-13T00:02:00,540
137,R001,2026-03-12T00:11:00Z,2026-03-12T20:13:00,2026-03-13T00:17:00,540
138,R001,2026-03-12T15:12:00+00:00,2026-03-12T21:50:00,2026-03-13T01:22:00,540
139,R001,2026-03-11T23:50:00Z,2026-03-12T04:55:00,2026-03-12T08:03:00,540
140,R001,2026-03-12T00:44:00+00:00,2026-03-11T23:59:00,2026-03-12T03:20:00,540
141,R001,2026-03-11T22:45:00Z,2026-03-12T00:03:00,2026-03-12T03:20:00,540
142,R001,2026-03-12T00:29:00+00:00,2026-03-12T00:06:00,2026-03-12T02:56:00,540
143,R001,2026-03-12T00:07:00Z,2026-03-12T11:12:00,2026-03-12T14:41:00,540
144,R001,2026-03-12T00:45:00+00:00,2026-03-12T11:25:00,2026-03-12T14:34:00,540
145,R001,2026-03-11T00:36:00Z,2026-03-11T23:47:00,2026-03-12T02:44:00,540
146,R001,2026-03-13T00:24:00Z,2026-03-12T21:54:00,2026-03-13T01:17:00,540
147,R001,2026-03-12T00:42:00Z,2026-03-12T21:40:00,2026-03-13T01:48:00,540
148,R001,2026-03-12T02:38:00Z,2026-03-12T11:50:00,2026-03-12T14:43:00,540
149,R001,2026-03-12T01:06:00+00:00,2026-03-12T11:28:00,2026-03-12T14:32:00,540
150,R001,2026-03-10T22:26:00Z,2026-03-12T04:59:00,2026-03-12T08:11:00,540
151,R001,2026-03-12T12:32:00Z,2026-03-12T21:47:00,2026-03-13T01:30:00,540
152,R001,2026-03-12T09:51:00+00:00,2026-03-12T20:42:00,2026-03-12T23:39:00,540
153,R001,2026-03-11T23:41:00+00:00,2026-03-12T21:41:00,2026-03-13T01:28:00,540
154,R001,2026-03-12T12:55:00Z,2026-03-12T22:03:00,2026-03-13T01:19:00,540
155,R001,2026-03-11T23:52:00Z,2026-03-12T20:34:00,2026-03-13T00:15:00,540
156,R001,2026-03-12T02:30:00+00:00,2026-03-12T11:21:00,2026-03-12T14:44:00,540
157,R001,2026-03-12T02:52:00Z,2026-03-12T11:39:00,2026-03-12T14:20:00,540
158,R001,2026-03-12T00:08:00Z,2026-03-12T00:19:00,2026-03-12T03:19:00,540
159,R001,2026-03-12T23:45:00Z,2026-03-12T11:35:00,2026-03-12T14:47:00,540
160,R001,2026-03-12T09:19:00Z,2026-03-12T20:43:00,2026-03-12T23:51:00,540
161,R001,2026-03-12T11:18:00+00:00,2026-03-12T20:24:00,2026-03-12T23:41:00,540
162,R001,2026-03-11T23:58:00+00:00,2026-03-12T20:25:00,2026-03-12T23:48:00,540
163,R001,2026-03-12T23:54:00+00:00,2026-03-12T21:48:00,2026-03-13T01:12:00,540
164,R001,2026-03-11T17:47:00Z,2026-03-12T04:45:00,2026-03-12T08:00:00,540
165,R001,2026-03-11T23:57:00+00:00,2026-03-12T00:05:00,2026-03-12T03:02:00,540
166,R001,2026-03-10T23:30:00+00:00,2026-03-11T23:49:00,2026-03-12T03:20:00,540
167,R001,2026-03-11T01:44:00Z,2026-03-12T04:58:00,2026-03-12T08:02:00,540
168,R001,2026-03-12T23:52:00Z,2026-03-12T20:10:00,2026-03-13T00:19:00,540
169,R001,2026-03-11T23:02:00Z,2026-03-12T20:39:00,2026-03-13T00:17:00,540
170,R001,2026-03-11T22:54:00+00:00,2026-03-12T04:54:00,2026-03-12T07:58:00,540
171,R001,2026-03-11T02:25:00+00:00,2026-03-11T23:51:00,2026-03-12T02:47:00,540
172,R001,2026-03-12T11:48:00Z,2026-03-12T20:50:00,2026-03-13T00:12:00,540
173,R001,2026-03-11T23:54:00+00:00,2026-03-12T05:02:00,2026-03-12T07:41:00,540
174,R001,2026-03-12T03:35:00Z,2026-03-12T11:14:00,2026-03-12T14:35:00,540
175,R001,2026-03-12T10:31:00+00:00,2026-03-12T21:53:00,2026-03-13T01:23:00,540
176,R001,2026-03-12T15:27:00Z,2026-03-12T22:17:00,2026-03-13T01:35:00,540
177,R001,2026-03-12T23:13:00+00:00,2026-03-12T21:46:00,2026-03-13T01:28:00,540
178,R001,2026-03-13T00:09:00+00:00,2026-03-12T11:31:00,2026-03-12T14:27:00,540
179,R001,2026-03-11T16:13:00+00:00,2026-03-11T23:43:00,2026-03-12T02:42:00,540
180,R001,2026-03-11T15:08:00Z,2026-03-12T00:05:00,2026-03-12T03:03:00,540
181,R001,2026-03-14T00:14:00+00:00,2026-03-13T21:42:00,2026-03-14T01:34:00,540
182,R001,2026-03-13T21:16:00Z,2026-03-13T20:34:00,2026-03-13T23:50:00,540
183,R001,2026-03-13T01:14:00+00:00,2026-03-13T22:12:00,2026-03-14T01:25:00,540
184,R001,2026-03-12T23:53:00+00:00,2026-03-13T22:13:00,2026-03-14T01:35:00,540
185,R001,2026-03-13T12:39:00Z,2026-03-13T21:42:00,2026-03-14T01:11:00,540
186,R001,2026-03-13T02:12:00Z,2026-03-13T11:23:00,2026-03-13T14:43:00,540
187,R001,2026-03-13T02:06:00Z,2026-03-13T11:19:00,2026-03-13T14:27:00,540
188,R001,2026-03-12T23:51:00+00:00,2026-03-13T04:53:00,2026-03-13T07:45:00,540
189,R001,2026-03-12T22:58:00+00:00,2026-03-13T21:46:00,2026-03-14T01:25:00,540
190,R001,2026-03-13T00:53:00Z,2026-03-13T11:25:00,2026-03-13T14:17:00,540
191,R001,2026-03-13T00:43:00Z,2026-03-13T11:16:00,2026-03-13T14:47:00,540
192,R001,2026-03-13T00:11:00Z,2026-03-13T04:45:00,2026-03-13T08:17:00,540
193,R001,2026-03-12T02:28:00+00:00,2026-03-13T04:49:00,2026-03-13T07:46:00,540
194,R001,2026-03-11T22:29:00Z,2026-03-12T23:58:00,2026-03-13T02:46:00,540
195,R001,2026-03-13T23:36:00+00:00,2026-03-13T11:21:00,2026-03-13T14:20:00,540
196,R001,2026-03-12T00:29:00Z,2026-03-13T05:00:00,2026-03-13T07:44:00,540
197,R001,2026-03-13T01:11:00+00:00,2026-03-13T00:12:00,2026-03-13T02:54:00,540
198,R001,2026-03-12T22:50:00Z,2026-03-13T22:17:00,2026-03-14T01:12:00,540
199,R001,2026-03-13T10:13:00Z,2026-03-13T22:11:00,2026-03-14T01:41:00,540
200,R001,2026-03-12T14:56:00+00:00,2026-03-13T00:17:00,2026-03-13T03:13:00,540
201,R001,2026-03-12T23:58:00Z,2026-03-13T22:03:00,2026-03-14T01:22:00,540
202,R001,2026-03-13T23:49:00+00:00,2026-03-13T11:40:00,2026-03-13T14:47:00,540
203,R001,2026-03-12T00:43:00+00:00,2026-03-12T23:41:00,2026-03-13T03:15:00,540
204,R001,2026-03-13T15:43:00+00:00,2026-03-13T22:08:00,2026-03-14T01:19:00,540
205,R001,2026-03-12T00:06:00Z,2026-03-13T05:07:00,2026-03-13T07:54:00,540
206,R001,2026-03-14T00:13:00Z,2026-03-13T20:28:00,2026-03-13T23:40:00,540
207,R001,2026-03-12T22:31:00+00:00,2026-03-13T05:04:00,2026-03-13T08:15:00,540
208,R001,2026-03-14T00:08:00+00:00,2026-03-13T22:04:00,2026-03-14T01:13:00,540
209,R001,2026-03-13T23:51:00+00:00,2026-03-13T11:33:00,2026-03-13T14:36:00,540
210,R001,2026-03-12T22:05:00+00:00,2026-03-13T21:49:00,2026-03-14T01:37:00,540
211,R001,2026-03-14T01:40:00Z,2026-03-13T21:58:00,2026-03-14T01:15:00,540
212,R001,2026-03-13T00:49:00+00:00,2026-03-13T04:48:00,2026-03-13T08:05:00,540
213,R001,2026-03-14T00:47:00+00:00,2026-03-13T11:25:00,2026-03-13T14:46:00,540
214,R001,2026-03-13T21:42:00Z,2026-03-13T21:48:00,2026-03-14T01:49:00,540
215,R001,2026-03-13T02:33:00+00:00,2026-03-13T11:43:00,2026-03-13T14:34:00,540
216,R001,2026-03-12T22:03:00+00:00,2026-03-13T21:54:00,2026-03-14T01:32:00,540
217,R001,2026-03-13T11:13:00+00:00,2026-03-13T20:11:00,2026-03-14T00:02:00,540
218,R001,2026-03-12T15:12:00+00:00,2026-03-13T00:08:00,2026-03-13T02:49:00,540
219,R001,2026-03-13T23:49:00+00:00,2026-03-13T21:45:00,2026-03-14T01:11:00,540
220,R001,2026-03-13T11:50:00+00:00,2026-03-13T20:36:00,2026-03-13T23:50:00,540
221,R001,2026-03-13T11:25:00Z,2026-03-13T22:13:00,2026-03-14T01:36:00,540
222,R001,2026-03-12T19:35:00+00:00,2026-03-13T04:48:00,2026-03-13T07:45:00,540
223,R001,2026-03-13T02:11:00+00:00,2026-03-13T21:46:00,2026-03-14T01:18:00,540
224,R001,2026-03-12T15:26:00+00:00,2026-03-13T00:20:00,2026-03-13T03:08:00,540
225,R001,2026-03-14T00:21:00+00:00,2026-03-13T20:37:00,2026-03-14T00:16:00,540
226,R001,2026-03-13T22:16:00+00:00,2026-03-13T21:56:00,2026-03-14T01:17:00,540
227,R001,2026-03-12T23:35:00+00:00,2026-03-13T21:48:00,2026-03-14T01:24:00,540
228,R001,2026-03-12T23:43:00Z,2026-03-13T20:40:00,2026-03-13T23:43:00,540
229,R001,2026-03-13T12:21:00Z,2026-03-13T20:43:00,2026-03-13T23:52:00,540
230,R001,2026-03-12T23:25:00+00:00,2026-03-13T05:04:00,2026-03-13T08:04:00,540
231,R001,2026-03-13T00:01:00Z,2026-03-13T21:48:00,2026-03-14T01:12:00,540
232,R001,2026-03-12T00:11:00Z,2026-03-13T00:13:00,2026-03-13T02:46:00,540
233,R001,2026-03-12T00:48:00Z,2026-03-12T23:58:00,2026-03-13T02:59:00,540
234,R001,2026-03-12T14:12:00Z,2026-03-13T00:13:00,2026-03-13T02:57:00,540
235,R001,2026-03-13T01:33:00+00:00,2026-03-13T11:49:00,2026-03-13T14:21:00,540
236,R001,2026-03-13T23:15:00+00:00,2026-03-13T22:12:00,2026-03-14T01:26:00,540
237,R001,2026-03-13T10:46:00Z,2026-03-13T20:16:00,2026-03-13T23:41:00,540
238,R001,2026-03-13T12:31:00Z,2026-03-13T21:41:00,2026-03-14T01:25:00,540
239,R001,2026-03-13T22:30:00Z,2026-03-13T11:25:00,2026-03-13T14:24:00,540
240,R001,2026-03-12T23:48:00+00:00,2026-03-13T11:35:00,2026-03-13T14:46:00,540
241,R001,2026-03-13T19:54:00Z,2026-03-14T05:07:00,2026-03-14T08:11:00,540
242,R001,2026-03-13T23:51:00Z,2026-03-14T21:52:00,2026-03-15T01:19:00,540
243,R001,2026-03-13T23:32:00+00:00,2026-03-14T21:53:00,2026-03-15T01:44:00,540
244,R001,2026-03-14T13:17:00Z,2026-03-14T22:18:00,2026-03-15T01:35:00,540
245,R001,2026-03-14T23:48:00Z,2026-03-14T20:34:00,2026-03-14T23:46:00,540
246,R001,2026-03-15T00:01:00+00:00,2026-03-14T21:47:00,2026-03-15T01:13:00,540
247,R001,2026-03-14T14:22:00+00:00,2026-03-14T20:39:00,2026-03-15T00:00:00,540
248,R001,2026-03-14T11:56:00Z,2026-03-14T20:42:00,2026-03-14T23:52:00,540
249,R001,2026-03-14T12:01:00Z,2026-03-14T20:19:00,2026-03-15T00:01:00,540
250,R001,2026-03-13T23:23:00+00:00,2026-03-13T23:48:00,2026-03-14T03:17:00,540
251,R001,2026-03-14T02:55:00Z,2026-03-14T11:48:00,2026-03-14T14:25:00,540
252,R001,2026-03-13T13:47:00Z,2026-03-14T00:11:00,2026-03-14T03:02:00,540
253,R001,2026-03-13T19:45:00+00:00,2026-03-14T04:42:00,2026-03-14T07:46:00,540
254,R001,2026-03-14T00:01:00+00:00,2026-03-13T23:58:00,2026-03-14T03:06:00,540
255,R001,2026-03-13T23:55:00+00:00,2026-03-14T04:48:00,2026-03-14T08:05:00,540
256,R001,2026-03-13T12:44:00+00:00,2026-03-13T23:53:00,2026-03-14T02:42:00,540
257,R001,2026-03-14T00:10:00Z,2026-03-14T11:30:00,2026-03-14T14:10:00,540
258,R001,2026-03-14T21:42:00Z,2026-03-14T11:38:00,2026-03-14T14:32:00,540
259,R001,2026-03-13T00:27:00Z,2026-03-14T05:00:00,2026-03-14T08:20:00,540
260,R001,2026-03-13T17:26:00+00:00,2026-03-14T00:11:00,2026-03-14T02:56:00,540
261,R001,2026-03-14T13:15:00Z,2026-03-14T22:01:00,2026-03-15T01:44:00,540
262,R001,2026-03-12T22:02:00Z,2026-03-14T05:15:00,2026-03-14T08:06:00,540
263,R001,2026-03-14T03:46:00+00:00,2026-03-14T11:26:00,2026-03-14T14:35:00,540
264,R001,2026-03-13T19:49:00+00:00,2026-03-14T05:04:00,2026-03-14T08:06:00,540
265,R001,2026-03-14T12:00:00Z,2026-03-14T20:49:00,2026-03-14T23:49:00,540
266,R001,2026-03-13T20:04:00Z,2026-03-14T04:59:00,2026-03-14T07:56:00,540
267,R001,2026-03-13T22:07:00+00:00,2026-03-14T22:12:00,2026-03-15T01:34:00,540
268,R001,2026-03-13T21:26:00Z,2026-03-14T11:16:00,2026-03-14T14:35:00,540
269,R001,2026-03-13T02:11:00+00:00,2026-03-14T05:19:00,2026-03-14T07:41:00,540
270,R001,2026-03-14T09:49:00Z,2026-03-14T21:48:00,2026-03-15T01:14:00,540
271,R001,2026-03-13T00:12:00+00:00,2026-03-13T23:40:00,2026-03-14T03:01:00,540
272,R001,2026-03-13T21:22:00Z,2026-03-14T00:16:00,2026-03-14T03:01:00,540
273,R001,2026-03-14T21:09:00+00:00,2026-03-14T21:52:00,2026-03-15T01:19:00,540
274,R001,2026-03-13T16:05:00Z,2026-03-14T00:07:00,2026-03-14T03:19:00,540
275,R001,2026-03-13T00:53:00+00:00,2026-03-14T04:50:00,2026-03-14T08:05:00,540
276,R001,2026-03-14T01:28:00+00:00,2026-03-14T00:05:00,2026-03-14T03:15:00,540
277,R001,2026-03-13T19:33:00+00:00,2026-03-14T04:43:00,2026-03-14T08:19:00,540
278,R001,2026-03-14T00:04:00Z,2026-03-14T22:00:00,2026-03-15T01:13:00,540
279,R001,2026-03-13T02:44:00Z,2026-03-14T04:58:00,2026-03-14T07:40:00,540
280,R001,2026-03-13T02:12:00Z,2026-03-13T23:47:00,2026-03-14T03:06:00,540
281,R001,2026-03-13T14:38:00Z,2026-03-13T23:49:00,2026-03-14T03:12:00,540
282,R001,2026-03-13T13:26:00+00:00,2026-03-14T00:13:00,2026-03-14T03:16:00,540
283,R001,2026-03-14T00:44:00+00:00,2026-03-14T04:40:00,2026-03-14T08:07:00,540
