shipment_id,pause_start_local,pause_end_local
91,2026-03-11T05:50:00,2026-03-11T06:35:00
91,2026-03-11T06:10:00,2026-03-11T06:50:00
92,2026-03-11T05:19:00,2026-03-11T07:45:00
93,2026-03-11T14:13:00,2026-03-11T14:48:00
94,2026-03-11T22:46:00,2026-03-11T22:46:00
96,2026-03-11T21:47:00,2026-03-11T22:32:00
96,2026-03-11T22:07:00,2026-03-11T22:47:00
97,2026-03-11T21:45:00,2026-03-11T22:30:00
98,2026-03-11T13:55:00,2026-03-11T14:30:00
100,2026-03-12T01:19:00,2026-03-12T01:54:00
101,2026-03-11T11:55:00,2026-03-11T12:45:00
101,2026-03-11T12:05:00,2026-03-11T12:35:00
101,2026-03-11T12:30:00,2026-03-11T13:05:00
102,2026-03-11T11:43:00,2026-03-11T14:18:00
103,2026-03-10T23:55:00,2026-03-11T00:40:00
105,2026-03-11T12:28:00,2026-03-11T13:13:00
105,2026-03-11T12:48:00,2026-03-11T13:28:00
106,2026-03-11T05:24:00,2026-03-11T05:39:00
106,2026-03-11T06:34:00,2026-03-11T06:59:00
107,2026-03-11T22:34:00,2026-03-11T23:24:00
107,2026-03-11T22:44:00,2026-03-11T23:14:00
107,2026-03-11T23:09:00,2026-03-11T23:44:00
108,2026-03-11T21:31:00,2026-03-11T22:16:00
109,2026-03-11T06:03:00,2026-03-11T07:03:00
109,2026-03-11T06:18:00,2026-03-11T06:33:00
110,2026-03-11T20:40:00,2026-03-12T00:15:00
111,2026-03-11T22:48:00,2026-03-11T23:38:00
111,2026-03-11T22:58:00,2026-03-11T23:28:00
111,2026-03-11T23:23:00,2026-03-11T23:58:00
112,2026-03-11T20:35:00,2026-03-11T20:50:00
112,2026-03-11T21:45:00,2026-03-11T22:10:00
113,2026-03-11T05:17:00,2026-03-11T05:47:00
113,2026-03-11T05:47:00,2026-03-11T06:17:00
114,2026-03-11T06:29:00,2026-03-11T07:29:00
114,2026-03-11T06:44:00,2026-03-11T06:59:00
117,2026-03-11T01:15:00,2026-03-11T02:15:00
117,2026-03-11T01:30:00,2026-03-11T01:45:00
118,2026-03-11T11:58:00,2026-03-11T12:13:00
118,2026-03-11T13:08:00,2026-03-11T13:33:00
120,2026-03-11T22:06:00,2026-03-11T23:06:00
120,2026-03-11T22:21:00,2026-03-11T22:36:00
121,2026-03-12T22:10:00,2026-03-12T23:10:00
121,2026-03-12T22:25:00,2026-03-12T22:40:00
122,2026-03-12T21:33:00,2026-03-12T22:33:00
122,2026-03-12T21:48:00,2026-03-12T22:03:00
123,2026-03-12T04:23:00,2026-03-12T05:08:00
124,2026-03-12T20:45:00,2026-03-12T21:15:00
124,2026-03-12T21:15:00,2026-03-12T21:45:00
125,2026-03-12T22:49:00,2026-03-12T23:19:00
125,2026-03-12T23:19:00,2026-03-12T23:49:00
127,2026-03-12T23:38:00,2026-03-13T00:13:00
129,2026-03-12T05:29:00,2026-03-12T05:59:00
129,2026-03-12T05:59:00,2026-03-12T06:29:00
130,2026-03-12T22:15:00,2026-03-13T01:40:00
131,2026-03-12T22:17:00,2026-03-12T22:47:00
131,2026-03-12T22:47:00,2026-03-12T23:17:00
132,2026-03-12T21:24:00,2026-03-12T22:09:00
133,2026-03-12T20:49:00,2026-03-12T21:19:00
133,2026-03-12T21:19:00,2026-03-12T21:49:00
134,2026-03-12T12:27:00,2026-03-12T13:12:00
134,2026-03-12T12:47:00,2026-03-12T13:27:00
137,2026-03-12T20:43:00,2026-03-12T21:13:00
137,2026-03-12T21:13:00,2026-03-12T21:43:00
138,2026-03-12T22:20:00,2026-03-12T22:50:00
138,2026-03-12T22:50:00,2026-03-12T23:20:00
139,2026-03-12T05:15:00,2026-03-12T05:30:00
139,2026-03-12T06:25:00,2026-03-12T06:50:00
140,2026-03-12T00:44:00,2026-03-12T00:44:00
141,2026-03-12T00:03:00,2026-03-12T03:20:00
142,2026-03-12T00:46:00,2026-03-12T01:36:00
142,2026-03-12T00:56:00,2026-03-12T01:26:00
142,2026-03-12T01:21:00,2026-03-12T01:56:00
143,2026-03-12T11:12:00,2026-03-12T14:41:00
144,2026-03-12T12:45:00,2026-03-12T13:45:00
144,2026-03-12T13:00:00,2026-03-12T13:15:00
145,2026-03-12T01:07:00,2026-03-12T02:07:00
145,2026-03-12T01:22:00,2026-03-12T01:37:00
147,2026-03-13T01:33:00,2026-03-13T02:08:00
148,2026-03-12T12:20:00,2026-03-12T12:50:00
148,2026-03-12T12:50:00,2026-03-12T13:20:00
149,2026-03-12T11:58:00,2026-03-12T12:28:00
149,2026-03-12T12:28:00,2026-03-12T12:58:00
150,2026-03-12T05:29:00,2026-03-12T05:59:00
150,2026-03-12T05:59:00,2026-03-12T06:29:00
151,2026-03-12T23:07:00,2026-03-13T00:07:00
151,2026-03-12T23:22:00,2026-03-12T23:37:00
152,2026-03-12T21:27:00,2026-03-12T21:27:00
153,2026-03-12T22:26:00,2026-03-12T22:26:00
154,2026-03-12T23:23:00,2026-03-13T00:23:00
154,2026-03-12T23:38:00,2026-03-12T23:53:00
155,2026-03-13T00:00:00,2026-03-13T00:35:00
156,2026-03-12T12:41:00,2026-03-12T13:41:00
156,2026-03-12T12:56:00,2026-03-12T13:11:00
157,2026-03-12T11:39:00,2026-03-12T14:20:00
158,2026-03-12T03:04:00,2026-03-12T03:39:00
159,2026-03-12T12:55:00,2026-03-12T13:55:00
159,2026-03-12T13:10:00,2026-03-12T13:25:00
160,2026-03-12T21:43:00,2026-03-12T22:28:00
160,2026-03-12T22:03:00,2026-03-12T22:43:00
163,2026-03-12T22:48:00,2026-03-12T23:33:00
163,2026-03-12T23:08:00,2026-03-12T23:48:00
164,2026-03-12T05:30:00,2026-03-12T05:30:00
165,2026-03-12T02:47:00,2026-03-12T03:22:00
166,2026-03-12T03:05:00,2026-03-12T03:40:00
167,2026-03-12T04:38:00,2026-03-12T05:23:00
168,2026-03-12T19:50:00,2026-03-12T20:35:00
169,2026-03-12T20:39:00,2026-03-13T00:17:00
170,2026-03-12T04:54:00,2026-03-12T07:58:00
171,2026-03-12T00:51:00,2026-03-12T01:36:00
171,2026-03-12T01:11:00,2026-03-12T01:51:00
173,2026-03-12T05:47:00,2026-03-12T05:47:00
174,2026-03-12T12:34:00,2026-03-12T13:34:00
174,2026-03-12T12:49:00,2026-03-12T13:04:00
175,2026-03-12T21:33:00,2026-03-12T22:18:00
176,2026-03-12T21:57:00,2026-03-12T22:42:00
178,2026-03-12T12:51:00,2026-03-12T13:51:00
178,2026-03-12T13:06:00,2026-03-12T13:21:00
179,2026-03-11T23:23:00,2026-03-12T00:08:00
180,2026-03-12T01:05:00,2026-03-12T01:50:00
180,2026-03-12T01:25:00,2026-03-12T02:05:00
181,2026-03-13T22:02:00,2026-03-13T22:17:00
181,2026-03-13T23:12:00,2026-03-13T23:37:00
182,2026-03-13T21:14:00,2026-03-13T22:04:00
182,2026-03-13T21:24:00,2026-03-13T21:54:00
182,2026-03-13T21:49:00,2026-03-13T22:24:00
183,2026-03-13T21:52:00,2026-03-13T22:37:00
184,2026-03-13T22:53:00,2026-03-13T23:43:00
184,2026-03-13T23:03:00,2026-03-13T23:33:00
184,2026-03-13T23:28:00,2026-03-14T00:03:00
185,2026-03-13T22:02:00,2026-03-13T22:17:00
185,2026-03-13T23:12:00,2026-03-13T23:37:00
186,2026-03-13T12:23:00,2026-03-13T13:08:00
186,2026-03-13T12:43:00,2026-03-13T13:23:00
187,2026-03-13T11:49:00,2026-03-13T12:19:00
187,2026-03-13T12:19:00,2026-03-13T12:49:00
188,2026-03-13T07:30:00,2026-03-13T08:05:00
189,2026-03-13T22:46:00,2026-03-13T23:31:00
189,2026-03-13T23:06:00,2026-03-13T23:46:00
190,2026-03-13T12:45:00,2026-03-13T13:45:00
190,2026-03-13T13:00:00,2026-03-13T13:15:00
191,2026-03-13T12:36:00,2026-03-13T13:36:00
191,2026-03-13T12:51:00,2026-03-13T13:06:00
192,2026-03-13T08:02:00,2026-03-13T08:37:00
193,2026-03-13T05:19:00,2026-03-13T05:49:00
193,2026-03-13T05:49:00,2026-03-13T06:19:00
194,2026-03-13T00:18:00,2026-03-13T00:33:00
194,2026-03-13T01:28:00,2026-03-13T01:53:00
195,2026-03-13T12:01:00,2026-03-13T12:51:00
195,2026-03-13T12:11:00,2026-03-13T12:41:00
195,2026-03-13T12:36:00,2026-03-13T13:11:00
196,2026-03-13T05:20:00,2026-03-13T05:35:00
196,2026-03-13T06:30:00,2026-03-13T06:55:00
197,2026-03-13T00:57:00,2026-03-13T00:57:00
198,2026-03-14T00:57:00,2026-03-14T01:32:00
199,2026-03-13T22:51:00,2026-03-13T23:41:00
199,2026-03-13T23:01:00,2026-03-13T23:31:00
199,2026-03-13T23:26:00,2026-03-14T00:01:00
200,2026-03-12T23:57:00,2026-03-13T00:42:00
201,2026-03-13T23:03:00,2026-03-13T23:48:00
201,2026-03-13T23:23:00,2026-03-14T00:03:00
202,2026-03-13T12:20:00,2026-03-13T13:10:00
202,2026-03-13T12:30:00,2026-03-13T13:00:00
202,2026-03-13T12:55:00,2026-03-13T13:30:00
203,2026-03-12T23:21:00,2026-03-13T00:06:00
205,2026-03-13T04:47:00,2026-03-13T05:32:00
206,2026-03-13T20:08:00,2026-03-13T20:53:00
207,2026-03-13T05:34:00,2026-03-13T06:04:00
207,2026-03-13T06:04:00,2026-03-13T06:34:00
208,2026-03-14T00:58:00,2026-03-14T01:33:00
209,2026-03-13T12:13:00,2026-03-13T13:03:00
209,2026-03-13T12:23:00,2026-03-13T12:53:00
209,2026-03-13T12:48:00,2026-03-13T13:23:00
210,2026-03-13T22:34:00,2026-03-13T22:34:00
211,2026-03-13T23:18:00,2026-03-14T00:18:00
211,2026-03-13T23:33:00,2026-03-13T23:48:00
212,2026-03-13T05:48:00,2026-03-13T06:33:00
212,2026-03-13T06:08:00,2026-03-13T06:48:00
213,2026-03-13T14:31:00,2026-03-13T15:06:00
214,2026-03-13T22:48:00,2026-03-13T23:33:00
214,2026-03-13T23:08:00,2026-03-13T23:48:00
215,2026-03-13T12:13:00,2026-03-13T12:43:00
215,2026-03-13T12:43:00,2026-03-13T13:13:00
216,2026-03-13T22:24:00,2026-03-13T22:54:00
216,2026-03-13T22:54:00,2026-03-13T23:24:00
217,2026-03-13T23:47:00,2026-03-14T00:22:00
218,2026-03-13T00:48:00,2026-03-13T01:38:00
218,2026-03-13T00:58:00,2026-03-13T01:28:00
218,2026-03-13T01:23:00,2026-03-13T01:58:00
219,2026-03-13T23:05:00,2026-03-14T00:05:00
219,2026-03-13T23:20:00,2026-03-13T23:35:00
220,2026-03-13T20:36:00,2026-03-13T23:50:00
221,2026-03-13T21:53:00,2026-03-13T22:38:00
222,2026-03-13T05:33:00,2026-03-13T05:33:00
223,2026-03-13T22:46:00,2026-03-13T23:31:00
223,2026-03-13T23:06:00,2026-03-13T23:46:00
224,2026-03-13T01:40:00,2026-03-13T02:40:00
224,2026-03-13T01:55:00,2026-03-13T02:10:00
225,2026-03-13T21:22:00,2026-03-13T21:22:00
226,2026-03-13T21:36:00,2026-03-13T22:21:00
227,2026-03-13T21:28:00,2026-03-13T22:13:00
228,2026-03-13T20:20:00,2026-03-13T21:05:00
229,2026-03-13T21:03:00,2026-03-13T21:18:00
229,2026-03-13T22:13:00,2026-03-13T22:38:00
230,2026-03-13T05:44:00,2026-03-13T06:34:00
230,2026-03-13T05:54:00,2026-03-13T06:24:00
230,2026-03-13T06:19:00,2026-03-13T06:54:00
231,2026-03-13T22:18:00,2026-03-13T22:48:00
231,2026-03-13T22:48:00,2026-03-13T23:18:00
232,2026-03-13T00:33:00,2026-03-13T00:48:00
232,2026-03-13T01:43:00,2026-03-13T02:08:00
233,2026-03-13T00:28:00,2026-03-13T00:58:00
233,2026-03-13T00:58:00,2026-03-13T01:28:00
234,2026-03-13T00:53:00,2026-03-13T01:43:00
234,2026-03-13T01:03:00,2026-03-13T01:33:00
234,2026-03-13T01:28:00,2026-03-13T02:03:00
235,2026-03-13T12:34:00,2026-03-13T12:34:00
236,2026-03-13T22:57:00,2026-03-13T22:57:00
237,2026-03-13T20:56:00,2026-03-13T21:46:00
237,2026-03-13T21:06:00,2026-03-13T21:36:00
237,2026-03-13T21:31:00,2026-03-13T22:06:00
238,2026-03-13T23:01:00,2026-03-14T00:01:00
238,2026-03-13T23:16:00,2026-03-13T23:31:00
239,2026-03-13T12:05:00,2026-03-13T12:55:00
239,2026-03-13T12:15:00,2026-03-13T12:45:00
239,2026-03-13T12:40:00,2026-03-13T13:15:00
240,2026-03-13T12:55:00,2026-03-13T13:55:00
240,2026-03-13T13:10:00,2026-03-13T13:25:00
241,2026-03-14T06:07:00,2026-03-14T06:52:00
241,2026-03-14T06:27:00,2026-03-14T07:07:00
242,2026-03-15T01:04:00,2026-03-15T01:39:00
244,2026-03-14T22:58:00,2026-03-14T23:48:00
244,2026-03-14T23:08:00,2026-03-14T23:38:00
244,2026-03-14T23:33:00,2026-03-15T00:08:00
245,2026-03-14T21:14:00,2026-03-14T22:04:00
245,2026-03-14T21:24:00,2026-03-14T21:54:00
245,2026-03-14T21:49:00,2026-03-14T22:24:00
246,2026-03-14T22:32:00,2026-03-14T22:32:00
247,2026-03-14T20:39:00,2026-03-15T00:00:00
248,2026-03-14T22:02:00,2026-03-14T23:02:00
248,2026-03-14T22:17:00,2026-03-14T22:32:00
249,2026-03-14T21:39:00,2026-03-14T22:39:00
249,2026-03-14T21:54:00,2026-03-14T22:09:00
250,2026-03-13T23:28:00,2026-03-14T00:13:00
251,2026-03-14T11:28:00,2026-03-14T12:13:00
253,2026-03-14T07:31:00,2026-03-14T08:06:00
255,2026-03-14T05:08:00,2026-03-14T05:23:00
255,2026-03-14T06:18:00,2026-03-14T06:43:00
256,2026-03-14T00:53:00,2026-03-14T01:38:00
256,2026-03-14T01:13:00,2026-03-14T01:53:00
257,2026-03-14T12:15:00,2026-03-14T12:15:00
258,2026-03-14T12:38:00,2026-03-14T13:23:00
258,2026-03-14T12:58:00,2026-03-14T13:38:00
259,2026-03-14T05:00:00,2026-03-14T08:20:00
260,2026-03-13T23:51:00,2026-03-14T00:36:00
261,2026-03-15T01:29:00,2026-03-15T02:04:00
262,2026-03-14T05:45:00,2026-03-14T06:15:00
262,2026-03-14T06:15:00,2026-03-14T06:45:00
263,2026-03-14T12:06:00,2026-03-14T12:56:00
263,2026-03-14T12:16:00,2026-03-14T12:46:00
263,2026-03-14T12:41:00,2026-03-14T13:16:00
264,2026-03-14T05:04:00,2026-03-14T08:06:00
265,2026-03-14T22:09:00,2026-03-14T23:09:00
265,2026-03-14T22:24:00,2026-03-14T22:39:00
266,2026-03-14T04:59:00,2026-03-14T07:56:00
267,2026-03-15T01:19:00,2026-03-15T01:54:00
269,2026-03-14T06:04:00,2026-03-14T06:04:00
271,2026-03-14T02:46:00,2026-03-14T03:21:00
272,2026-03-14T02:46:00,2026-03-14T03:21:00
273,2026-03-14T21:32:00,2026-03-14T22:17:00
274,2026-03-14T03:04:00,2026-03-14T03:39:00
275,2026-03-14T05:30:00,2026-03-14T06:20:00
275,2026-03-14T05:40:00,2026-03-14T06:10:00
275,2026-03-14T06:05:00,2026-03-14T06:40:00
276,2026-03-14T00:35:00,2026-03-14T01:05:00
276,2026-03-14T01:05:00,2026-03-14T01:35:00
277,2026-03-14T08:04:00,2026-03-14T08:39:00
278,2026-03-14T23:00:00,2026-03-14T23:45:00
278,2026-03-14T23:20:00,2026-03-15T00:00:00
279,2026-03-14T05:28:00,2026-03-14T05:58:00
279,2026-03-14T05:58:00,2026-03-14T06:28:00
281,2026-03-14T00:34:00,2026-03-14T00:34:00
282,2026-03-14T01:33:00,2026-03-14T02:33:00
282,2026-03-14T01:48:00,2026-03-14T02:03:00
283,2026-03-14T05:40:00,2026-03-14T06:25:00
283,2026-03-14T06:00:00,2026-03-14T06:40:00
284,2026-03-14T07:26:00,2026-03-14T08:01:00
285,2026-03-14T12:28:00,2026-03-14T13:18:00
285,2026-03-14T12:38:00,2026-03-14T13:08:00
285,2026-03-14T13:03:00,2026-03-14T13:38:00
286,2026-03-14T12:32:00,2026-03-14T13:32:00
286,2026-03-14T12:47:00,2026-03-14T13:02:00
287,2026-03-14T06:12:00,2026-03-14T07:12:00
287,2026-03-14T06:27:00,2026-03-14T06:42:00
288,2026-03-14T11:11:00,2026-03-14T11:56:00
289,2026-03-14T20:25:00,2026-03-15T00:01:00
292,2026-03-14T12:20:00,2026-03-14T12:50:00
292,2026-03-14T12:50:00,2026-03-14T13:20:00
293,2026-03-13T23:58:00,2026-03-14T03:03:00
294,2026-03-14T22:48:00,2026-03-14T22:48:00
295,2026-03-14T22:46:00,2026-03-14T23:16:00
295,2026-03-14T23:16:00,2026-03-14T23:46:00
297,2026-03-14T05:39:00,2026-03-14T05:54:00
297,2026-03-14T06:49:00,2026-03-14T07:14:00
298,2026-03-14T21:13:00,2026-03-14T21:43:00
298,2026-03-14T21:43:00,2026-03-14T22:13:00
299,2026-03-14T21:34:00,2026-03-14T22:19:00
299,2026-03-14T21:54:00,2026-03-14T22:34:00
301,2026-03-15T22:51:00,2026-03-15T23:36:00
301,2026-03-15T23:11:00,2026-03-15T23:51:00
302,2026-03-15T14:07:00,2026-03-15T14:42:00
303,2026-03-15T00:15:00,2026-03-15T02:56:00
304,2026-03-15T07:56:00,2026-03-15T08:31:00
305,2026-03-15T14:29:00,2026-03-15T15:04:00
306,2026-03-15T05:15:00,2026-03-15T08:16:00
307,2026-03-15T21:20:00,2026-03-15T22:05:00
307,2026-03-15T21:40:00,2026-03-15T22:20:00
308,2026-03-15T21:20:00,2026-03-15T21:50:00
308,2026-03-15T21:50:00,2026-03-15T22:20:00
309,2026-03-15T11:45:00,2026-03-15T14:13:00
310,2026-03-15T12:30:00,2026-03-15T13:30:00
310,2026-03-15T12:45:00,2026-03-15T13:00:00
311,2026-03-15T21:37:00,2026-03-15T22:22:00
311,2026-03-15T21:57:00,2026-03-15T22:37:00
312,2026-03-15T11:25:00,2026-03-15T14:28:00
313,2026-03-15T05:43:00,2026-03-15T05:43:00
314,2026-03-15T20:59:00,2026-03-15T21:14:00
314,2026-03-15T22:09:00,2026-03-15T22:34:00
315,2026-03-15T22:05:00,2026-03-16T01:37:00
316,2026-03-15T22:15:00,2026-03-16T01:13:00
317,2026-03-16T01:34:00,2026-03-16T02:09:00
318,2026-03-14T23:28:00,2026-03-15T00:13:00
319,2026-03-15T12:27:00,2026-03-15T13:17:00
319,2026-03-15T12:37:00,2026-03-15T13:07:00
319,2026-03-15T13:02:00,2026-03-15T13:37:00
320,2026-03-15T21:22:00,2026-03-15T22:07:00
320,2026-03-15T21:42:00,2026-03-15T22:22:00
321,2026-03-15T22:27:00,2026-03-15T23:17:00
321,2026-03-15T22:37:00,2026-03-15T23:07:00
321,2026-03-15T23:02:00,2026-03-15T23:37:00
322,2026-03-16T01:27:00,2026-03-16T02:02:00
323,2026-03-15T12:14:00,2026-03-15T13:04:00
323,2026-03-15T12:24:00,2026-03-15T12:54:00
323,2026-03-15T12:49:00,2026-03-15T13:24:00
324,2026-03-15T05:54:00,2026-03-15T06:39:00
324,2026-03-15T06:14:00,2026-03-15T06:54:00
325,2026-03-15T11:24:00,2026-03-15T12:09:00
326,2026-03-15T12:32:00,2026-03-15T13:32:00
326,2026-03-15T12:47:00,2026-03-15T13:02:00
327,2026-03-15T10:57:00,2026-03-15T11:42:00
330,2026-03-15T06:34:00,2026-03-15T07:34:00
330,2026-03-15T06:49:00,2026-03-15T07:04:00
331,2026-03-15T05:17:00,2026-03-15T05:47:00
331,2026-03-15T05:47:00,2026-03-15T06:17:00
332,2026-03-15T05:21:00,2026-03-15T06:11:00
332,2026-03-15T05:31:00,2026-03-15T06:01:00
332,2026-03-15T05:56:00,2026-03-15T06:31:00
333,2026-03-15T21:53:00,2026-03-16T01:29:00
335,2026-03-15T05:40:00,2026-03-15T06:30:00
335,2026-03-15T05:50:00,2026-03-15T06:20:00
335,2026-03-15T06:15:00,2026-03-15T06:50:00
336,2026-03-15T23:19:00,2026-03-16T00:19:00
336,2026-03-15T23:34:00,2026-03-15T23:49:00
337,2026-03-15T22:58:00,2026-03-15T23:48:00
337,2026-03-15T23:08:00,2026-03-15T23:38:00
